Item,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
All food,1.2,2.2,2.4,2.8,3.3,2.6,2.2,2.1,2.3,3.2,1.8,2.2,3.4,2.4,2.4,4,5.5,1.8,0.8,3.7,2.6,1.4,2.4,1.9,0.3,0.9,1.4,1.9,3.4,3.9
Food away from home,2,1.8,1.7,2.3,2.5,2.8,2.6,2.5,2.4,2.9,2.5,2.1,3,3.1,3.1,3.6,4.4,3.5,1.3,2.3,2.8,2.1,2.4,2.9,2.6,2.3,2.6,3.1,3.4,4.5
Food at home,0.7,2.4,2.9,3.3,3.7,2.5,1.9,1.9,2.3,3.3,1.3,2.2,3.8,1.9,1.7,4.2,6.4,0.5,0.3,4.8,2.5,0.9,2.4,1.2,-1.3,-0.2,0.4,0.9,3.5,3.5
"Meats, poultry, and fish",-0.8,3.3,1.5,0.9,3.5,2.9,-0.8,0.7,4.5,4.4,0.5,4,7.4,2.4,0.8,3.8,4.2,0.5,1.9,7.4,3.6,2.1,7.2,1.9,-3.5,-0.1,0.7,1,6.3,6.8
Meats ,-1.4,3,0.6,0.1,3.5,3,-1.9,0.5,5.9,5.7,0.6,5.4,8.4,2.3,0.7,3.3,3.5,-0.6,2.8,8.8,3.4,1.2,9.2,3,-4.4,-0.6,0.4,1.3,7.4,7.7
Beef and veal,-0.1,3.6,-0.8,-0.8,-0.3,1.7,-0.2,2,6.4,8.4,0.1,9,11.5,2.6,0.8,4.4,4.5,-1,2.9,10.2,6.4,2,12.1,7.2,-6.3,-1.2,1.4,1.6,9.6,9.3
Pork,-4.7,3.1,1.7,0.7,9.9,5.2,-4.7,-1.8,7.3,3.8,-0.4,1.9,5.6,2,-0.2,2,2.3,-2,4.7,8.5,0.3,0.9,9.1,-3.9,-4.1,0.6,-0.4,1.2,6.3,8.6
Other meats,0.2,1.6,2.4,1.5,3.6,2.8,-0.9,1,2.6,2.9,3.5,2.5,4.5,2.4,1.8,2.3,3.1,2.3,-0.1,6.4,1.7,-0.1,3.9,4.1,-0.9,-0.9,-0.4,0.9,4.4,2.9
Poultry,-0.1,4.2,3.4,1.4,6.2,2.8,0.3,0.5,1.2,3.2,1.3,1.3,7.5,2,-1.8,5.1,5,1.7,-0.1,2.9,5.5,4.7,2,0.4,-2.7,0.2,0.3,-0.3,5.6,5.1
Fish and seafood,2.3,3.2,4.5,4.8,0.9,2.3,2.6,2,2.8,0.4,-1.6,1,2.3,3,4.7,4.6,5.9,3.6,1.1,7.1,2.4,2.5,5.8,-0.9,-0.7,1.2,2.1,1.6,3.3,5.4
Eggs,-10.6,8.1,-2.4,5.4,17.9,-1.5,-3.3,-5.4,3,3.4,1.3,13.8,6.2,-13.7,4.9,29.2,14,-14.7,1.5,9.2,3.2,3.3,8.4,17.8,-21.1,-9.5,10.8,-10,4.3,4.5
Dairy products,2.7,0.7,1.8,0.8,7,2.4,3.6,5.8,0.7,4,0.6,-0.1,7.3,1.2,-0.5,7.4,8,-6.4,1.1,6.8,2.1,0.1,3.6,-1.3,-2.3,0.1,-0.5,1,4.4,1.4
Fats and oils,-1.4,0.2,2.7,2.8,2.3,0.9,3.7,1,-0.6,5.6,-0.2,1.3,6.6,-0.1,0.2,2.9,13.8,2.3,-0.3,9.3,6.1,-1.4,0.1,-1,-0.6,0.8,0.1,-0.7,1.3,4.6
Fruits and vegetables,-0.3,2.3,3.8,7.7,3.5,2,5.7,2.5,0.7,3.7,4.1,2.3,3,3.7,4.8,3.8,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5,-0.2,0.8,-0.2,0.7,1,1.4,3.3
Fresh fruits and vegetables,-1.8,4.4,4.5,10.3,2.8,1.7,7.3,2.6,0.7,3.8,4.2,2.7,3.5,3.9,5.3,3.9,5.2,-4.8,0.7,4.5,-2,3.3,1.9,-0.5,1.2,0.2,1.1,1,0.8,3.3
Fresh fruits  ,-5,2.5,6.6,8.8,7,0.8,4.3,8,-3,2.6,1.9,3.3,2.8,3.7,6,4.5,4.8,-6.1,-0.6,3.3,1,2,4.8,-2.2,2.2,0.5,1,-1.4,-0.8,5.5
Fresh vegetables,2.3,6.6,2.3,12.1,-2,2.9,10.9,-3,4.8,5.1,6.4,2.1,4.3,4,4.6,3.2,5.6,-3.4,2,5.6,-5.1,4.7,-1.3,1.6,0,-0.1,1.1,3.8,2.6,1.1
Sugar and sweets,2.9,0.2,1.3,1.7,4.5,2.9,1.6,1.4,1.1,1.1,2.1,1.9,0.7,1.2,3.8,3.1,5.5,5.6,2.2,3.3,3.3,-1.7,-0.8,3.2,-0.4,-0.1,0.4,2,3.3,3
Cereals and bakery products,3.9,3.4,4.1,2.8,3.9,2.1,2,2.2,1.8,2.9,2.2,2.4,1.6,1.5,1.8,4.4,10.2,3.2,-0.8,3.9,2.8,1,0.2,1.1,-0.3,-0.5,0.4,1.4,2.2,2.3
Nonalcoholic beverages,0.2,0.3,7.5,6.9,-2.4,3.7,-0.3,1,2.6,1,0,0.4,0.4,2.8,2.1,4.1,4.3,1.9,-0.9,3.2,1.1,-1,-0.5,1.1,-0.4,0.2,0,1.9,3.6,2.8
Other foods,2.2,2.6,2.6,2.4,3.4,3.2,2.7,2.1,2,2.2,0.6,1,0.5,1.6,1.4,1.8,5.2,3.7,-0.5,2.3,3.5,0.5,1,1.6,0.3,0.1,0.1,0.3,3.1,2.2
